id,stable_height
95,5
706,2
2854,1
3093,5
4283,3
5449,1
5625,2
7860,1
8051,1
8812,1
10265,1
11329,2
11485,1
13901,3
15142,1
15176,4
15598,1
16132,2
16584,2
16840,2
16864,3
17375,2
17774,5
19140,6
19671,2
19834,2
19985,3
21275,5
21380,2
21728,3
23345,3
23418,6
24335,4
24604,2
26374,3
26566,4
27296,5
27572,2
27686,5
28146,1
28412,2
29213,6
29410,3
29443,5
29720,3
30147,2
30154,3
30813,1
30895,5
32835,1
33287,3
34108,2
34114,2
34252,4
34299,1
34477,1
34504,2
35120,3
36273,3
36647,3
36733,6
36818,1
37705,2
38348,3
38456,5
38463,1
39034,4
39083,2
39689,3
39736,2
39787,4
40053,1
40534,2
42846,4
43823,3
44092,2
44561,2
46366,1
47517,1
47714,1
48210,3
48662,1
48911,1
49738,1
50682,4
51047,1
51350,2
51358,2
51742,5
52173,2
52566,3
53571,2
53690,3
53776,1
54106,1
54175,3
54301,1
54722,3
54994,2
55065,2
55360,1
56121,4
57055,1
57233,5
57361,3
58573,2
58649,4
58971,4
59340,2
59595,5
59737,6
59816,2
61023,5
61254,1
61653,1
62582,3
62708,2
62948,2
63231,4
63533,1
64426,1
64510,1
64548,3
65240,3
65880,2
66512,2
67525,3
67803,1
68278,3
68332,1
68336,2
72268,2
73169,5
73291,2
73607,2
73682,2
74252,1
75673,2
76320,1
77121,4
77735,3
77856,3
78413,2
79194,2
79534,5
79542,1
79836,3
80405,2
81589,4
81667,5
81850,2
81990,3
82475,5
83152,5
83166,1
83743,2
85657,6
86855,3
88122,1
88459,4
88575,4
89578,3
89966,4
91735,1
91892,3
93230,1
93632,3
93803,5
94032,2
95115,6
96274,5
97119,4
97125,1
97450,5
97521,2
98063,2
98114,5
98444,4
99074,2
99081,5
99283,4
99787,1
100156,1
100357,2
100998,1
102119,5
102131,5
102213,3
103351,3
103671,2
104154,1
104298,5
104408,5
105572,1
105753,3
106117,2
106155,1
106207,2
106615,4
106839,1
107131,1
107154,1
108129,6
108162,6
108306,1
108313,5
109548,5
110737,1
111486,5
111571,2
111936,3
112148,3
112408,4
114074,2
114456,3
115147,1
116446,1
116758,3
117059,1
117554,5
117913,2
118233,2
118392,1
118644,6
119874,2
120797,2
121757,2
123349,5
123544,3
123994,6
125981,4
126835,3
127129,3
128888,1
129188,4
129287,4
129464,4
129853,3
129905,4
130200,2
130227,6
130325,4
130451,1
130956,1
131307,6
131690,5
131853,1
132664,1
132993,2
133736,2
133791,2
133859,1
134412,3
135144,2
137131,2
138612,1
138697,2
139770,4
140013,4
140787,1
142146,2
143614,1
143947,2
144874,2
145326,1
146340,1
146432,2
146463,1
