id,stable_height
95,4
706,2
2854,3
3093,3
4283,2
5449,2
5625,4
7860,1
8051,2
8812,4
10265,2
11329,2
11485,2
13901,2
15142,1
15176,1
15598,2
16132,1
16584,2
16840,1
16864,4
17375,3
17774,5
19140,2
19671,4
19834,3
19985,2
21275,2
21380,2
21728,1
23345,1
23418,1
24335,1
24604,2
26374,3
26566,1
27296,1
27572,1
27686,1
28146,3
28412,5
29213,6
29410,1
29443,1
29720,3
30147,3
30154,1
30813,2
30895,2
32835,1
33287,3
34108,1
34114,1
34252,4
34299,1
34477,3
34504,1
35120,3
36273,3
36647,2
36733,1
36818,1
37705,1
38348,5
38456,3
38463,1
39034,3
39083,1
39689,1
39736,2
39787,2
40053,3
40534,1
42846,1
43823,1
44092,3
44561,2
46366,2
47517,2
47714,3
48210,2
48662,1
48911,1
49738,2
50682,2
51047,1
51350,2
51358,2
51742,1
52173,6
52566,1
53571,1
53690,1
53776,1
54106,1
54175,2
54301,1
54722,3
54994,2
55065,1
55360,2
56121,1
57055,5
57233,1
57361,2
58573,2
58649,2
58971,3
59340,2
59595,4
59737,2
59816,1
61023,5
61254,1
61653,1
62582,2
62708,2
62948,1
63231,2
63533,5
64426,1
64510,1
64548,3
65240,1
65880,2
66512,2
67525,1
67803,1
68278,2
68332,3
68336,1
72268,1
73169,2
73291,1
73607,6
73682,4
74252,2
75673,1
76320,3
77121,3
77735,3
77856,1
78413,1
79194,1
79534,2
79542,2
79836,4
80405,2
81589,3
81667,2
81850,2
81990,2
82475,3
83152,6
83166,1
83743,1
85657,1
86855,1
88122,2
88459,6
88575,1
89578,5
89966,3
91735,2
91892,2
93230,1
93632,4
93803,1
94032,3
95115,3
96274,6
97119,1
97125,1
97450,3
97521,1
98063,1
98114,3
98444,3
99074,2
99081,1
99283,5
99787,3
100156,2
100357,1
100998,2
102119,1
102131,4
102213,2
103351,4
103671,1
104154,2
104298,3
104408,2
105572,3
105753,1
106117,1
106155,2
106207,3
106615,1
106839,1
107131,1
107154,1
108129,6
108162,1
108306,1
108313,2
109548,4
110737,4
111486,2
111571,2
111936,3
112148,2
112408,1
114074,2
114456,3
115147,1
116446,2
116758,3
117059,1
117554,3
117913,3
118233,2
118392,2
118644,5
119874,1
120797,2
121757,1
123349,2
123544,1
123994,5
125981,2
126835,1
127129,2
128888,3
129188,2
129287,5
129464,2
129853,2
129905,1
130200,1
130227,3
130325,1
130451,1
130956,1
131307,3
131690,5
131853,1
132664,2
132993,1
133736,2
133791,2
133859,1
134412,2
135144,3
137131,2
138612,5
138697,1
139770,2
140013,2
140787,1
142146,2
143614,1
143947,2
144874,3
145326,1
146340,1
146432,1
146463,3
147577,1
147836,2
148326,1
148338,3
148342,1
148680,2
149231,4
149364,1
149931,4
150322,1
152583,3
153062,1
153166,5
153485,3
153594,1
153750,1
153874,4
153991,2
154636,6
154783,4
156410,4
157695,2
159154,4
160186,1
160678,1
160767,2
160830,2
161233,3
161573,3
162816,2
162880,1
162955,1
163241,3
163678,2
163971,6
164394,1
166392,1
166440,3
166524,1
166951,2
167011,4
168218,4
168854,1
168964,3
168977,5
169539,2
169810,2
170088,6
170812,1
172079,2
172864,1
173421,4
173904,1
175611,4
175835,1
176261,2
176288,2
178697,2
178917,1
180650,5
180789,1
181460,1
183277,1
184804,3
185665,3
186121,2
187583,4
188235,3
188273,1
188693,1
189252,1
189455,1
189862,4
190413,1
190634,4
192273,2
192280,5
193309,2
193681,3
194172,4
194193,2
194759,3
194979,4
195221,1
196076,4
196703,1
196971,1
197275,1
197775,2
197965,2
198759,1
198897,1
201206,2
201852,1
202505,4
202553,4
204110,2
204709,2
204844,2
205035,2
206022,1
206418,2
207361,2
207717,1
208215,1
208356,2
208487,2
208661,1
209064,1
210092,1
210440,2
210928,1
211025,3
211455,1
211900,1
212838,1
213031,1
213324,2
213442,1
213706,1
215078,2
215174,2
215479,2
216439,1
218073,2
218252,1
218676,4
218778,3
218794,1
219106,3
220083,2
220655,1
221457,1
221825,3
222007,4
223728,1
223844,3
223959,1
224340,2
224410,1
225057,1
225294,2
225499,3
227053,2
227386,1
227765,1
228559,4
229160,1
229187,2
229955,2
230102,1
232815,2
232854,2
233633,1
234011,2
234222,2
234519,2
235368,3
237047,1
238507,2
238627,2
239039,3
239535,1
239782,1
240253,1
240723,4
241219,1
241409,1
241894,4
241957,1
242191,1
243322,4
244493,5
244965,5
246299,1
246400,1
246866,4
249064,2
249348,1
250208,1
250440,2
250605,1
250926,2
251617,3
251679,1
252051,2
252347,2
252511,4
254660,1
254905,1
254906,1
256185,4
257019,2
257319,2
257757,1
257869,1
258043,5
258090,1
258701,4
258928,1
259582,1
259963,1
260141,1
260613,1
262448,1
262663,1
262842,1
263087,2
264173,1
264469,1
264942,4
265630,1
265867,2
266195,1
267273,1
268004,6
269574,2
269635,1
271313,3
271432,2
272065,2
272335,2
272687,2
272836,2
273096,1
273104,1
273961,4
275254,1
275325,1
275591,1
